sum_click,code_module,code_presentation,activity_type,id_student,date,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result
14,AAA,2013J,forumng,28400,-10,F,Scotland,HE Qualification,20-30%,35-55,0,60,N,Pass
11,AAA,2013J,homepage,28400,-10,F,Scotland,HE Qualification,20-30%,35-55,0,60,N,Pass
33,AAA,2013J,oucontent,28400,-10,F,Scotland,HE Qualification,20-30%,35-55,0,60,N,Pass
2,AAA,2013J,resource,28400,-10,F,Scotland,HE Qualification,20-30%,35-55,0,60,N,Pass
9,AAA,2013J,subpage,28400,-10,F,Scotland,HE Qualification,20-30%,35-55,0,60,N,Pass
1,AAA,2013J,url,28400,-10,F,Scotland,HE Qualification,20-30%,35-55,0,60,N,Pass
5,AAA,2013J,forumng,30268,-10,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Y,Withdrawn
3,AAA,2013J,homepage,30268,-10,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Y,Withdrawn
2,AAA,2013J,oucontent,30268,-10,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Y,Withdrawn
1,AAA,2013J,glossary,31604,-10,F,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass
11,AAA,2013J,homepage,31604,-10,F,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass
31,AAA,2013J,oucontent,31604,-10,F,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass
5,AAA,2013J,resource,31604,-10,F,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass
12,AAA,2013J,subpage,31604,-10,F,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass
8,AAA,2013J,forumng,32885,-10,F,West Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass
2,AAA,2013J,glossary,32885,-10,F,West Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass
13,AAA,2013J,homepage,32885,-10,F,West Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass
48,AAA,2013J,oucontent,32885,-10,F,West Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass
1,AAA,2013J,resource,32885,-10,F,West Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass
6,AAA,2013J,subpage,32885,-10,F,West Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass
16,AAA,2013J,forumng,38053,-10,M,Wales,A Level or Equivalent,80-90%,35-55,0,60,N,Pass
13,AAA,2013J,homepage,38053,-10,M,Wales,A Level or Equivalent,80-90%,35-55,0,60,N,Pass
35,AAA,2013J,oucontent,38053,-10,M,Wales,A Level or Equivalent,80-90%,35-55,0,60,N,Pass
3,AAA,2013J,resource,38053,-10,M,Wales,A Level or Equivalent,80-90%,35-55,0,60,N,Pass
8,AAA,2013J,subpage,38053,-10,M,Wales,A Level or Equivalent,80-90%,35-55,0,60,N,Pass
2,AAA,2013J,forumng,45462,-10,M,Scotland,HE Qualification,30-40%,0-35,0,60,N,Pass
7,AAA,2013J,homepage,45462,-10,M,Scotland,HE Qualification,30-40%,0-35,0,60,N,Pass
1,AAA,2013J,oucontent,45462,-10,M,Scotland,HE Qualification,30-40%,0-35,0,60,N,Pass
1,AAA,2013J,resource,45462,-10,M,Scotland,HE Qualification,30-40%,0-35,0,60,N,Pass
3,AAA,2013J,homepage,57506,-10,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Pass
2,AAA,2013J,oucontent,57506,-10,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Pass
1,AAA,2013J,subpage,57506,-10,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Pass
1,AAA,2013J,url,57506,-10,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Pass
14,AAA,2013J,forumng,58873,-10,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass
18,AAA,2013J,homepage,58873,-10,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass
101,AAA,2013J,oucontent,58873,-10,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass
1,AAA,2013J,resource,58873,-10,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass
8,AAA,2013J,subpage,58873,-10,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass
6,AAA,2013J,forumng,59185,-10,M,East Anglian Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass
12,AAA,2013J,homepage,59185,-10,M,East Anglian Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass
25,AAA,2013J,oucontent,59185,-10,M,East Anglian Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass
2,AAA,2013J,resource,59185,-10,M,East Anglian Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass
1,AAA,2013J,subpage,59185,-10,M,East Anglian Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass
1,AAA,2013J,forumng,62155,-10,F,North Western Region,HE Qualification,50-60%,0-35,0,60,N,Pass
8,AAA,2013J,homepage,62155,-10,F,North Western Region,HE Qualification,50-60%,0-35,0,60,N,Pass
47,AAA,2013J,oucontent,62155,-10,F,North Western Region,HE Qualification,50-60%,0-35,0,60,N,Pass
2,AAA,2013J,resource,62155,-10,F,North Western Region,HE Qualification,50-60%,0-35,0,60,N,Pass
3,AAA,2013J,subpage,62155,-10,F,North Western Region,HE Qualification,50-60%,0-35,0,60,N,Pass
1,AAA,2013J,url,62155,-10,F,North Western Region,HE Qualification,50-60%,0-35,0,60,N,Pass
8,AAA,2013J,homepage,63400,-10,M,Scotland,Lower Than A Level,40-50%,35-55,0,60,N,Pass
33,AAA,2013J,oucontent,63400,-10,M,Scotland,Lower Than A Level,40-50%,35-55,0,60,N,Pass
5,AAA,2013J,subpage,63400,-10,M,Scotland,Lower Than A Level,40-50%,35-55,0,60,N,Pass
3,AAA,2013J,homepage,65002,-10,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,60,N,Withdrawn
3,AAA,2013J,homepage,65002,-10,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,1,60,N,Fail
1,AAA,2013J,dataplus,70464,-10,F,West Midlands Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass
5,AAA,2013J,forumng,70464,-10,F,West Midlands Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass
2,AAA,2013J,glossary,70464,-10,F,West Midlands Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass
14,AAA,2013J,homepage,70464,-10,F,West Midlands Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass
38,AAA,2013J,oucontent,70464,-10,F,West Midlands Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass
6,AAA,2013J,resource,70464,-10,F,West Midlands Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass
